A,4.24,103.83,66.14,970.24,232.23,44.90,5.90,1517.00
A,3.40,102.78,65.97,924.08,219.85,44.43,5.42,1341.00
B,4.84,104.41,67.46,996.32,235.39,45.26,6.26,1385.00
A,4.12,103.83,67.12,970.56,231.33,45.01,5.93,1407.00
C,3.24,102.68,65.64,920.80,218.86,44.35,5.33,1341.00
C,4.00,103.15,66.14,944.24,223.96,44.69,5.72,1363.00
B,4.84,104.36,67.95,1012.40,233.46,45.26,6.98,1627.00
B,4.96,104.46,67.12,1010.88,239.11,45.33,6.56,1539.00
A,4.40,103.89,67.12,969.52,231.43,45.00,5.99,1385.00
B,5.00,104.62,67.95,1031.12,241.14,45.34,6.92,1605.00
B,4.80,103.99,67.62,985.04,229.21,45.31,6.26,1495.00
A,4.04,103.68,66.63,952.96,226.58,44.72,5.81,1407.00
A,4.52,103.99,67.46,974.64,231.53,44.85,6.14,1429.00
B,4.88,104.25,67.79,997.52,236.98,45.52,6.23,1407.00
B,4.36,103.73,66.30,964.08,226.58,44.72,6.11,1407.00
A,4.60,104.20,67.29,994.32,235.54,45.18,6.44,1451.00
C,3.44,102.94,65.81,934.48,219.40,44.35,5.69,1341.00
B,4.12,103.57,66.30,960.16,228.61,44.77,5.78,1407.00
A,3.52,103.10,65.64,928.88,219.60,44.38,5.60,1341.00
A,4.20,103.36,66.30,948.96,226.88,44.67,5.69,1385.00
A,3.44,102.94,66.14,927.28,219.45,44.55,5.45,1429.00
C,3.64,102.89,66.30,924.08,217.92,44.44,5.51,1407.00
B,5.12,104.62,68.11,1038.32,252.32,45.90,6.62,1451.00
B,5.00,104.36,67.46,1010.16,241.48,45.87,6.20,1385.00
B,5.52,105.04,68.44,1073.84,260.79,46.68,6.83,1407.00
B,5.08,104.62,67.62,1036.56,247.87,45.67,6.80,1429.00
B,5.24,104.72,69.11,1047.28,249.06,46.42,6.71,1429.00
A,5.32,104.67,67.62,1036.96,245.24,46.08,6.68,1451.00
A,5.44,104.99,68.94,1037.84,249.01,45.95,6.77,1517.00
A,5.20,104.46,67.62,1026.16,248.91,46.02,6.20,1429.00
A,5.24,104.93,68.44,1047.60,248.96,46.15,6.98,1407.00
B,6.04,105.88,68.44,1150.24,269.94,46.50,7.76,1517.00
A,5.92,105.51,68.44,1102.08,264.60,47.18,7.10,1583.00
B,6.04,105.78,68.78,1175.68,290.68,47.49,7.73,1605.00
B,6.24,105.78,69.60,1161.52,272.67,47.66,7.94,1473.00
A,4.32,103.73,66.46,964.72,232.47,45.10,5.75,1363.00
B,4.92,104.99,68.11,1082.72,262.52,46.74,7.04,1539.00
B,4.20,103.73,66.46,971.60,233.46,45.04,5.87,1363.00
B,5.20,104.67,67.46,1029.28,247.72,45.81,6.56,1429.00
A,3.44,103.04,65.97,940.40,223.27,44.77,5.54,1385.00
B,4.20,103.52,66.46,956.00,228.46,44.81,5.69,1385.00
B,5.00,104.46,67.46,1024.24,245.84,45.74,6.62,1495.00
C,2.52,101.84,64.49,899.20,213.12,44.21,5.12,1297.00
C,2.24,101.57,64.82,894.72,212.52,44.13,5.07,1297.00
C,2.28,101.57,64.65,894.72,211.73,44.11,5.09,1275.00
C,3.72,103.10,66.14,920.48,218.66,44.40,5.45,1341.00
A,4.36,103.89,66.96,980.72,239.01,46.02,5.84,1385.00
B,4.28,103.94,66.96,961.68,227.57,44.98,5.90,1341.00
C,3.20,102.57,65.31,913.76,217.47,44.23,5.27,1319.00
B,4.80,104.46,68.28,1021.68,245.10,45.90,6.47,1385.00
C,4.76,104.31,66.96,983.20,233.61,44.99,6.14,1363.00
A,3.80,103.36,66.14,936.48,223.22,44.53,5.60,1341.00
A,4.48,103.78,67.29,974.64,235.69,44.85,5.96,1407.00
B,4.36,103.78,66.96,964.40,230.84,44.94,5.90,1407.00
A,3.84,103.25,66.30,949.60,227.13,44.81,5.66,1341.00
B,4.60,104.20,67.62,993.84,235.39,45.56,6.32,1363.00
A,4.16,103.68,66.96,958.80,229.01,44.85,5.81,1363.00
A,4.36,104.04,67.46,982.32,237.37,45.07,6.02,1363.00
C,2.56,102.00,64.98,901.76,214.16,44.12,5.15,1275.00
B,4.64,104.20,67.12,981.28,234.35,45.16,6.05,1341.00
