,Date,AveragePrice,TotalVolume,type,year,region
0,27/12/2015,1.33,64236.62,conventional,2015,Albany
1,20/12/2015,1.35,54876.98,conventional,2015,Albany
2,13/12/2015,0.93,118220.22,conventional,2015,Albany
3,06/12/2015,1.08,78992.15,conventional,2015,Albany
4,29/11/2015,1.28,51039.6,conventional,2015,Albany
5,22/11/2015,1.26,55979.78,conventional,2015,Albany
6,15/11/2015,0.99,83453.76,conventional,2015,Albany
7,08/11/2015,0.98,109428.33,conventional,2015,Albany
8,01/11/2015,1.02,99811.42,conventional,2015,Albany
9,25/10/2015,1.07,74338.76,conventional,2015,Albany
10,18/10/2015,1.12,84843.44,conventional,2015,Albany
11,11/10/2015,1.28,64489.17,conventional,2015,Albany
12,04/10/2015,1.31,61007.1,conventional,2015,Albany
13,27/09/2015,0.99,106803.39,conventional,2015,Albany
14,20/09/2015,1.33,69759.01,conventional,2015,Albany
15,13/09/2015,1.28,76111.27,conventional,2015,Albany
16,06/09/2015,1.11,99172.96,conventional,2015,Albany
17,30/08/2015,1.07,105693.84,conventional,2015,Albany
18,23/08/2015,1.34,79992.09,conventional,2015,Albany
19,16/08/2015,1.33,80043.78,conventional,2015,Albany
20,09/08/2015,1.12,111140.93,conventional,2015,Albany
21,02/08/2015,1.45,75133.1,conventional,2015,Albany
22,26/07/2015,1.11,106757.1,conventional,2015,Albany
23,19/07/2015,1.26,96617,conventional,2015,Albany
24,12/07/2015,1.05,124055.31,conventional,2015,Albany
25,05/07/2015,1.35,109252.12,conventional,2015,Albany
26,28/06/2015,1.37,89534.81,conventional,2015,Albany
27,21/06/2015,1.27,104849.39,conventional,2015,Albany
28,14/06/2015,1.32,89631.3,conventional,2015,Albany
29,07/06/2015,1.07,122743.06,conventional,2015,Albany
30,31/05/2015,1.23,95123.62,conventional,2015,Albany
31,24/05/2015,1.19,101470.91,conventional,2015,Albany
32,17/05/2015,1.43,109857.47,conventional,2015,Albany
33,10/05/2015,1.26,120427.91,conventional,2015,Albany
34,03/05/2015,1.2,59197.67,conventional,2015,Albany
35,26/04/2015,1.22,49585.46,conventional,2015,Albany
36,19/04/2015,1.19,49064.73,conventional,2015,Albany
37,12/04/2015,1.13,48364.29,conventional,2015,Albany
38,05/04/2015,1.16,47362.13,conventional,2015,Albany
39,29/03/2015,1.02,67799.08,conventional,2015,Albany
40,22/03/2015,1.12,46346.85,conventional,2015,Albany
41,15/03/2015,1.11,43045.79,conventional,2015,Albany
42,08/03/2015,1.07,40507.36,conventional,2015,Albany
43,01/03/2015,0.99,55595.74,conventional,2015,Albany
44,22/02/2015,1.07,45675.05,conventional,2015,Albany
45,15/02/2015,1.06,41567.62,conventional,2015,Albany
46,08/02/2015,0.99,51253.97,conventional,2015,Albany
47,01/02/2015,0.99,70873.6,conventional,2015,Albany
48,25/01/2015,1.06,45147.5,conventional,2015,Albany
49,18/01/2015,1.17,44511.28,conventional,2015,Albany
50,11/01/2015,1.24,41195.08,conventional,2015,Albany
51,04/01/2015,1.22,40873.28,conventional,2015,Albany
0,27/12/2015,0.99,386100.49,conventional,2015,Atlanta
1,20/12/2015,1.08,331377.53,conventional,2015,Atlanta
2,13/12/2015,0.96,417772.47,conventional,2015,Atlanta
3,06/12/2015,1.07,357636.82,conventional,2015,Atlanta
4,29/11/2015,0.99,333280.79,conventional,2015,Atlanta
5,22/11/2015,1,356414.57,conventional,2015,Atlanta
6,15/11/2015,1.13,339860.68,conventional,2015,Atlanta
7,08/11/2015,1.12,334041.6,conventional,2015,Atlanta
8,01/11/2015,0.99,419088.74,conventional,2015,Atlanta
9,25/10/2015,1.09,358478.08,conventional,2015,Atlanta
10,18/10/2015,1.09,349072.48,conventional,2015,Atlanta
11,11/10/2015,0.95,433874.46,conventional,2015,Atlanta
12,04/10/2015,0.96,418682.26,conventional,2015,Atlanta
13,27/09/2015,1.07,370321.17,conventional,2015,Atlanta
14,20/09/2015,0.93,516432.6,conventional,2015,Atlanta
15,13/09/2015,1.07,417232.18,conventional,2015,Atlanta
16,06/09/2015,0.97,472136.53,conventional,2015,Atlanta
17,30/08/2015,1.15,382972.72,conventional,2015,Atlanta
18,23/08/2015,1.12,379054.29,conventional,2015,Atlanta
19,16/08/2015,1.09,465213.81,conventional,2015,Atlanta
20,09/08/2015,1.01,503791.72,conventional,2015,Atlanta
21,02/08/2015,1.15,405898.44,conventional,2015,Atlanta
22,26/07/2015,1.08,437377.75,conventional,2015,Atlanta
